iter	RMSE
398	0.121400771
399	0.1212650763
400	0.1211222595
401	0.1210178674
402	0.1208322313
403	0.1206447895
404	0.1204411527
405	0.1202314932
406	0.1201123315
407	0.1199071804
408	0.1197746648
409	0.1196530193
410	0.1194882762
411	0.1194113316
412	0.119276062
413	0.1190653489
414	0.1189457587
415	0.1188238735
416	0.118553886
417	0.118485831
418	0.1183404977
419	0.1180494854
420	0.1179126478
421	0.1177844656
422	0.1176135383
423	0.1174326957
424	0.1173314877
425	0.1172155309
426	0.1170371285
427	0.1169465871
428	0.1167900007
429	0.1166649954
430	0.1163340732
431	0.1161984217
432	0.1159082991
433	0.1157032841
434	0.1155576809
435	0.115494744
436	0.1154169221
437	0.1152521731
438	0.1150989914
439	0.1148882974
440	0.1147991888
441	0.1144944591
442	0.1143947338
443	0.1143296168
444	0.1142165542
445	0.1141007169
446	0.113956794
447	0.1139090045
448	0.113821562
449	0.113650376
450	0.1134785909
451	0.113267054
452	0.1131193642
453	0.112995193
454	0.1126518946
455	0.1125370054
456	0.1122730359
457	0.112150316
458	0.1120133401
459	0.111742147
460	0.1116278238
461	0.1114066722
462	0.1111227486
463	0.1109489707
464	0.1108388298
465	0.1106397613
466	0.1105107738
467	0.1103366406
468	0.1102446328
469	0.1102027757
470	0.1100836008
471	0.1099647588
472	0.1097596698
473	0.1095538764
474	0.1093038561
475	0.1092195318
476	0.1090617544
477	0.1090190618
478	0.1088996471
479	0.10882196
480	0.1086173446
481	0.1084954271
482	0.1083837547
483	0.1082561012
484	0.1081262605
485	0.1080625162
486	0.1079714675
487	0.107850375
488	0.1077073454
489	0.1075914789
490	0.1074532661
491	0.1073837469
492	0.1072757345
493	0.1071005661
494	0.1069406641
495	0.1068715738
496	0.1067607705
497	0.1066213139
498	0.1064970902
499	0.1064126548
500	0.106296437
501	0.1061966595
502	0.1060843433
503	0.1059768613
504	0.1058282107
505	0.1057084877
506	0.1055613526
507	0.1054220849
508	0.1053531045
509	0.1052621157
510	0.1051375308
511	0.1050252522
512	0.1048978239
513	0.1047747444
514	0.1047257545
515	0.1046646015
516	0.1045466696
517	0.1044859973
518	0.1043100406
519	0.1041929709
520	0.1041076754
521	0.1039696444
522	0.1038163381
523	0.1037306498
524	0.1036572199
525	0.1035244712
526	0.1034580773
527	0.1033508841
528	0.1032261406
529	0.1031035482
530	0.1029358955
531	0.1028354582
532	0.1027666777
533	0.1026638249
534	0.1024336577
535	0.1023207654
536	0.1021773731
537	0.1020500349
538	0.1019268028
539	0.1018900398
540	0.1018676614
541	0.1017745076
542	0.1016578811
543	0.1016178597
544	0.1014848554
545	0.1014168265
546	0.1013207941
547	0.1012534402
548	0.1011586537
549	0.1010396069
550	0.1008821717
551	0.1007959287
552	0.1007246766
553	0.1006120329
554	0.1005469442
555	0.1004978209
556	0.1004100116
557	0.1002945974
558	0.1001739403
559	0.1000258122
560	0.09988364133
561	0.09974552136
562	0.09962356627
563	0.09951627866
564	0.09941453821
565	0.09934109081
566	0.09924606855
567	0.09914284108
568	0.09912549104
569	0.09904221672
570	0.09899030904
571	0.09891439534
572	0.09887115636
573	0.09877785363
574	0.09866497648
575	0.09860065684
576	0.09856122901
577	0.09848910674
578	0.098462285
579	0.09827105711
580	0.09813383782
581	0.09803371765
582	0.09795664607
583	0.09786538307
584	0.09775800183
585	0.09769027403
586	0.09761801152
587	0.09759035096
588	0.09752074917
589	0.09743539395
590	0.09738226954
591	0.09734549562
592	0.09727131315
593	0.09717742578
594	0.09701861109
595	0.09693996508
596	0.09689287999
597	0.09679745769
598	0.09665744524
599	0.0965394934
600	0.09647623854
601	0.09643159628
602	0.09632556247
603	0.09626099978
604	0.09618164985
605	0.09613073676
606	0.09609419484
607	0.09599634722
608	0.09585474387
609	0.09576284292
610	0.09571289105
611	0.09558895744
612	0.0955414567
613	0.09549435902
614	0.09542567936
615	0.0953385804
616	0.09527950562
617	0.09520306179
618	0.095102201
619	0.09504000986
620	0.09494963382
621	0.09488374017
622	0.094836914
623	0.09472909008
624	0.09466766961
625	0.09461416598
626	0.09446353537
627	0.0943947274
628	0.09429630787
629	0.09418523351
630	0.09408317143
631	0.09394777389
632	0.09385635197
633	0.09373060165
634	0.09360206392
635	0.09345902911
636	0.09338953968
637	0.09327541376
638	0.09319428435
639	0.09315251175
640	0.09312153711
641	0.09305772302
642	0.09298800894
643	0.0929238787
644	0.09287237347
645	0.09281260999
646	0.09276164203
647	0.0926569283
648	0.09256007393
649	0.09250898467
650	0.09246065988
651	0.09235726793
652	0.09227511259
653	0.0922016784
654	0.09218017462
655	0.09214230066
656	0.09209161456
657	0.09203071986
658	0.09194435239
659	0.09191437627
660	0.0918325604
661	0.09179297432
662	0.09170250588
663	0.09161344868
664	0.09154067854
665	0.09144965779
666	0.09133386949
667	0.09127891467
668	0.09125847501
669	0.09115575994
670	0.09111820152
671	0.09106467432
672	0.09101736333
673	0.09095388209
674	0.09090395687
675	0.09084292228
676	0.0907833656
677	0.09069911295
678	0.09066013814
679	0.09061614993
680	0.09058066853
681	0.09052850997
682	0.09046825111
683	0.09034364511
684	0.0902817681
685	0.09020378725
686	0.09014981406
687	0.09004386041
688	0.09001472399
689	0.08991742855
690	0.08987777552
691	0.08978440848
692	0.08969291367
693	0.08959557553
694	0.08952347495
695	0.08942802941
696	0.08934980655
697	0.08930083499
698	0.08924826125
699	0.0891182006
700	0.0890553293
701	0.08902408623
702	0.08900211327
703	0.08892262657
704	0.08886272116
705	0.0887825669
706	0.08873403357
707	0.08864522122
708	0.0885670659
709	0.08848382729
710	0.08840984188
711	0.08833301068
712	0.08828736492
713	0.08819906216
714	0.08808783667
715	0.08798035642
716	0.08790187296
717	0.0878573408
718	0.08780109583
719	0.08776561726
720	0.08771017632
721	0.08766853032
722	0.08763539049
723	0.08755272842
724	0.08752937204
725	0.08747438044
726	0.08744000139
727	0.08742548838
728	0.08735114183
729	0.08732969734
730	0.08727444673
731	0.08721531444
732	0.08716478214
733	0.08710744292
734	0.08701959065
735	0.08699999517
736	0.08694369493
737	0.08687729371
738	0.08683935068
739	0.0868108256
740	0.08678762165
741	0.08670717021
742	0.08663444965
743	0.08652605328
744	0.08645851191
745	0.08638344344
746	0.08634156408
747	0.08629063957
748	0.08625491867
749	0.08617644942
750	0.08609515696
751	0.08601442292
752	0.08598425051
753	0.08592596902
754	0.08584703303
755	0.08575058751
756	0.08570493882
757	0.08567077677
758	0.0855953386
759	0.08554107086
760	0.08548265017
761	0.08539207587
762	0.08532664099
763	0.08528477885
764	0.08526254574
765	0.08515943363
766	0.08512362068
767	0.08510389756
768	0.08505229329
769	0.08502464891
770	0.08495637508
771	0.08491534484
772	0.08485975125
773	0.08482454688
774	0.08479807727
775	0.08478807738
776	0.08471210407
777	0.08464230418
778	0.08460426302
779	0.08456392915
780	0.0844950048
781	0.08444299089
782	0.08439563898
783	0.08436443781
784	0.0843137821
785	0.084259939
786	0.08420621054
787	0.08416157795
788	0.08411946026
789	0.08407842371
790	0.08404539704
791	0.08391798958
792	0.08386503643
793	0.0838365232
794	0.08380659943
795	0.08374602347
796	0.08370705705
797	0.08368898805
798	0.08364011877
799	0.08361953585
800	0.08356901648
801	0.08354739454
802	0.08348606643
803	0.08347266794
804	0.08342201922
805	0.0833449379
806	0.08325577784
807	0.08318360262
808	0.0831348847
809	0.08306607897
810	0.08300474854
811	0.08297696421
812	0.08296717428
813	0.08291635802
814	0.08287489554
815	0.08283492824
816	0.08276431772
817	0.08270077639
818	0.0826911092
819	0.08265145473
820	0.08263058412
821	0.0825651334
822	0.08253264536
823	0.08246783541
824	0.08244330541
825	0.08240371776
826	0.08237861764
827	0.08232441885
828	0.08225402289
829	0.08216426636
830	0.08209035794
831	0.08207761132
832	0.08202100954
833	0.08195605286
834	0.08191583674
835	0.08188470103
836	0.08183138521
837	0.08180713693
838	0.08169353858
839	0.08166963273
840	0.0815963211
841	0.08155799349
842	0.08151712435
843	0.0814716934
844	0.08139518561
845	0.08133782923
846	0.08129228486
847	0.08122378179
848	0.08116257633
849	0.08111752144
850	0.08106567352
851	0.08101860247
852	0.08097154671
853	0.0809661846
854	0.08094675098
855	0.08091817636
856	0.08084626891
857	0.08079993506
858	0.08079300432
859	0.08076238477
860	0.08072453659
861	0.08069667993
862	0.08066663896
863	0.08064301497
864	0.08059948915
865	0.08056412347
866	0.0805257298
867	0.08049663492
868	0.08043938148
869	0.08038788909
870	0.08031859188
871	0.08026319595
872	0.0802147336
873	0.08019351438
874	0.08015329863
875	0.08011695431
876	0.08009158489
877	0.08006990281
878	0.08003811978
879	0.08000387673
880	0.07996035262
881	0.07992180708
882	0.0798729873
883	0.07982722058
884	0.07978997822
885	0.07975599834
886	0.07973067186
887	0.07967604467
888	0.07960568156
889	0.07958046308
890	0.07953989335
891	0.07951190811
892	0.07947097838
893	0.07943334389
894	0.07942053171
895	0.07935731408
896	0.07932140877
897	0.07929731946
898	0.0792351138
899	0.07920874992
900	0.07913870949
901	0.0790884468
902	0.07907427738
903	0.07903730482
904	0.07897997187
905	0.07895973414
906	0.07889957934
907	0.07887490144
908	0.07885178704
909	0.07880341852
910	0.07877881721
911	0.07875045712
912	0.07872067076
913	0.07869517966
914	0.07868401848
915	0.07864092611
916	0.07859761474
917	0.07853651488
918	0.07851006935
919	0.07846173263
920	0.07845568547
921	0.07843026825
922	0.07839179929
923	0.07838009168
924	0.07836488698
925	0.07831761006
926	0.07831528877
927	0.0782653225
928	0.07824015734
929	0.07819148012
930	0.07815643997
931	0.07812723636
932	0.07809482329
933	0.0780838273
934	0.07805635339
935	0.07804557601
936	0.07802399752
937	0.07798668209
938	0.07793242872
939	0.07789660209
940	0.07787709221
941	0.07782787211
942	0.07776770331
943	0.07772460196
944	0.07769754283
945	0.07765123353
946	0.07759987807
947	0.07756773881
948	0.07750885116
949	0.07748000231
950	0.07744526607
951	0.07741587749
952	0.07736793716
953	0.07730197375
954	0.07728007451
955	0.07723622964
956	0.07720403803
957	0.07716647708
958	0.0771385373
959	0.07707388917
960	0.07706907504
961	0.07705486617
962	0.07702359433
963	0.07698146972
964	0.07692413848
965	0.07690326144
966	0.07684614781
967	0.07677699732
968	0.07674731736
969	0.07672166863
970	0.07671488132
971	0.0766759135
972	0.0766549843
973	0.07660868993
974	0.07657801172
975	0.07652254517
976	0.07644267274
977	0.07638194213
978	0.0763547329
979	0.07628650759
980	0.07626235159
981	0.07621663311
982	0.07619417006
983	0.07617137167
984	0.07615493365
985	0.07610506574
986	0.07606413961
987	0.07599887381
988	0.0759570072
989	0.07590562089
990	0.07589807485
991	0.07584714118
992	0.07581312792
993	0.07578011025
994	0.0757681766
995	0.07575673747
996	0.07573163397
997	0.07569519743
998	0.0756684122
999	0.07563373722
1000	0.07557278844
1001	0.07553883817
1002	0.07549906537
1003	0.07543448622
1004	0.0754036062
1005	0.07536636303
1006	0.07535533096
1007	0.07531382547
1008	0.07526508153
1009	0.07523696399
1010	0.07521024039
1011	0.0751834103
1012	0.07513656946
1013	0.07510891731
1014	0.0750599834
1015	0.07502692202
1016	0.07501276069
1017	0.07498664858
1018	0.07494845138
1019	0.07491035079
1020	0.07487602284
1021	0.07483775669
1022	0.07479716852
1023	0.07476737197
1024	0.07473364718
1025	0.07470596724
1026	0.07467074558
1027	0.07461846234
1028	0.0746082637
1029	0.07456704807
1030	0.07451045183
1031	0.0744651055
1032	0.07444385852
1033	0.07438226303
1034	0.07433284824
1035	0.07428699786
1036	0.07426487962
1037	0.07423729679
1038	0.07419773402
1039	0.07415975278
1040	0.07413120371
1041	0.0740823469
1042	0.07405367296
1043	0.07405112518
1044	0.07398831808
1045	0.07393649173
1046	0.0739169276
1047	0.07389623402
1048	0.07383453765
1049	0.07377617843
1050	0.07376112825
1051	0.07374022464
1052	0.07369109251
1053	0.07366617406
1054	0.07364182644
1055	0.07360792729
1056	0.07358107135
1057	0.07356705102
1058	0.07354317371
